,Strategy,semeval,,covid19,,am,,pstance,,combined,
,,Acc,F1-score,Acc,F1-score,Acc,F1-score,Acc,F1-score,Acc,F1-score
Mistral-7B-Instruct-v0.2,Zeroshot,0.3851851852,0.3999137721,0.52375,0.4957335285,0.5368956743,0.5418786189,0.4770514604,0.5854496466,0.5037174721,0.499733487
vicuna-7b-v1.5,Zeroshot,0.4157407407,0.4273673074,0.49125,0.4725023104,0.5785868076,0.5696919061,0.4204914233,0.5370398015,0.5144325388,0.5018802039
Tiny llama,Finetuned,0.6518518519,0.5144660355,0.30375,0.1415364334,0.2450577412,0.09646668512,0.5215577191,0.3575578513,0.3634375683,0.1937556499
