,Strategy,semeval,,covid19,,am,,pstance,,combined,
,,Acc,F1-score,Acc,F1-score,Acc,F1-score,Acc,F1-score,Acc,F1-score
Mistral-7B-Instruct-v0.2,Zeroshot,0.3851851852,0.3999137721,0.52375,0.4957335285,0.5368956743,0.5418786189,0.4770514604,0.5854496466,0.5037174721,0.499733487
vicuna-7b-v1.5,Zeroshot,0.4157407407,0.4273673074,0.49125,0.4725023104,,,,,,
Tiny llama,Finetuned,0.4398148148,0.4540804048,0.5,0.4293873335,0.6680367978,0.6379614265,0.6323597589,0.6757936222,0.6179750711,0.5975029406
